The user wants a deep review of the `decide()` function for a fixed-frequency AC control loop. I need to analyze the code for logic bugs, physical characteristic pitfalls, data/timing issues, energy/comfort improvements, and testability. The output must follow a strict format.

Let me first understand the code structure and the `decide` function logic thoroughly.

**Constants:**
- `COMPRESSOR_POWER_THRESHOLD = 300`
- `FAN_ONLY_POWER_MAX = 50`
- `COMPRESSOR_FALSE_RUN_MIN = 10`
- `COMPRESSOR_RESTART_COOLDOWN = 30`
- `COMPRESSOR_RESTART_DROP = 2`
- `DEHUMID_EXIT_RH = 55`
- `DEHUMID_LOW_EFF_RH = 66`
- `DEHUMID_DELTA_RH_MIN = -1.0`
- `DEHUMID_ADJUST_COOLDOWN = 20`
- `DEHUMID_FORCE_MIN = 40`
- `DEHUMID_FORCE_RH = 68`
- `DEHUMID_STALL_MIN = 60`
- `DEHUMID_STALL_RH_BAND = 1.5`
- `DEHUMID_STEP_C = 1`
- `DEHUMID_MIN_TARGET = 16`
- `DEHUMID_START_TARGET = 25` (changed from 24 in v8.12)
- `VIRTUAL_INV_APPROACH_RH = 58`
- `VIRTUAL_INV_MAX_TARGET = 26`
- `VIRTUAL_INV_RECOVER_RH = 62`
- `WATCH_MAX_RUN = 90`
- `NIGHT_MIN_COMP_ON = 20`
- `NIGHT_MAX_STARTS_PER_H = 4`
- `DAY_COOL_STOP_T = 22`
- `DAY_COOL_STOP_AH = 15.0`
- `NIGHT_STOP_AH = 14.0`
- `NIGHT_START_AH = 17.0`
- `NIGHT_START_AH_HYST = 1.0`
- `NIGHT_TARGET = 26`
- `NIGHT_MIN_TARGET = 24`
- `A.TEMP_ABSOLUTE_FLOOR` (likely 24 based on context)
- `A.MIN_RUN` (likely 10 or 20)
- `A.MIN_OFF` (likely 3 or 5)
- `A.TEMP_COOLING` (likely 28)
- `A.HUM_DEHUMID_ON` (likely 65)
- `A.TEMP_DEHUMID_LOW` (likely 26)

**Function `decide` signature:**
```python
def decide(temp, hum, running, since_on, since_off, is_night,
           compressor=None, compressor_stop_duration_min=None, cooldown_until_dt=None,
           current_target=26, delta_rh_20min=None, delta_rh_60min=None,
           minutes_since_last_adjust=None, ah=None, compressor_run_min=None,
           night_comp_starts=None, fake_run_count=None):
```

**Logic Flow:**

1.  **Sensor Failure Guard**: `if running is None: return (None, None, None)`
2.  **Running Branch (`if running:`)**
    *   **Compressor Stopped (Fan Only) Sub-branch**: `if compressor == "fan_only":`
        *   Fake run counter check (v8.10): `fake_run_count >= FAKE_RUN_MAX_CYCLES (3)` -> OFF.
        *   High RH + Long Stop + Not in Cooldown -> Lower target by 2C (restart compressor).
        *   RH <= DEHUMID_EXIT_RH (55) -> OFF.
        *   Virtual Inverter Recovery: RH >= VIRTUAL_INV_RECOVER_RH (62) + target > floor + not cooldown -> Set target 24.
        *   Return None.
    *   **Compressor Running Sub-branch** (implicit `else`):
        *   `comp_min` calculation (uses `compressor_run_min` passed in, fallback `since_on`).
        *   **Hard Limit**: `comp_min >= WATCH_MAX_RUN (90)` -> OFF.
        *   **Night Stop Conditions** (`if is_night:`):
            *   AH <= NIGHT_STOP_AH (14) -> OFF.
            *   RH <= DEHUMID_EXIT_RH (55) AND comp_min >= NIGHT_MIN_COMP_ON (20) -> OFF.
            *   Temp <= ABSOLUTE_FLOOR (24) -> OFF.
            *   **Comfort Guards (Return None)**:
                *   comp_min < NIGHT_MIN_COMP_ON (20) -> None.
                *   night_comp_starts >= NIGHT_MAX_STARTS_PER_H (4) -> None.
        *   **Day Overcool Protection** (`if not is_night and temp <= DAY_COOL_STOP_T (22):`):
            *   AH <= DAY_COOL_STOP_AH (15) -> OFF.
        *   **Absolute Floor Escape Hatch** (Safety): `temp < A.TEMP_ABSOLUTE_FLOOR` -> OFF. (Note: This is *after* Night/Day specific stops but *before* MIN_RUN guard).
        *   **Min Run Guard**: `comp_min < A.MIN_RUN` -> None.
        *   **RH Target Met**: `hum <= DEHUMID_EXIT_RH (55)` -> OFF.
        *   **Virtual Inverter (Approach)**: `hum <= VIRTUAL_INV_APPROACH_RH (58)` + comp_min >= MIN_RUN + current_target < 26 + cooldown passed -> Increase target by 1C.
        *   **Stall/Invalid (Tier 4)**: `comp_min >= DEHUMID_STALL_MIN (60)` + `delta_rh_60min > -1.5` (i.e., drop < 1.5%) -> OFF.
        *   **Normal Dehumid (Tier 1)**: `delta_rh_20min <= -1.0` -> None (continue).
        *   **Low Efficiency (Tier 2)**: `hum > 66` AND `delta_rh_20min > -1.0` (rising or dropping too slow):
            *   Cooldown check.
            *   Force condition: comp_min >= 40 AND hum > 68 -> Drop 1C.
